GeneticID	PCA1	PCA2	Group	Period
YemeniteJew4937.HO	0.0579	-0.041	Jew_Yemenite	Modern
Malta12AM91.HO	0.0126	-0.0298	Maltese	Modern
Trabzon21534.HO	0.029	0.0041	Turkish	Modern
LibyanJew1605.HO	0.0299	-0.0406	Jew_Libyan	Modern
BAS27.HO	-0.0243	-0.0409	Basque	Modern
Cyprus21AJ19.HO	0.0313	-0.0149	Cypriot	Modern
TunisianJew1511.HO	0.0294	-0.0355	Jew_Tunisian	Modern
Turkish9BA57.HO	0.0217	0.0205	Turkish	Modern
Kayseri24075.HO	0.0253	0.0125	Turkish	Modern
IraqiJew4291.HO	0.0386	-0.0061	Jew_Iraqi	Modern
ALB230.HO	-0.0038	-0.0089	Albanian	Modern
Adana23108.HO	0.0349	-0.0129	Turkish	Modern
IranianJew1143.HO	0.0398	-0.0031	Jew_Iranian	Modern
MoroccanJew4683.HO	0.023	-0.0295	Jew_Moroccan	Modern
IranianJew1832.HO	0.0356	0.0018	Jew_Iranian	Modern
GeorgianJew1654.HO	0.0343	0.0044	Jew_Georgian	Modern
BAS33.HO	-0.0238	-0.0375	Basque	Modern
GeorgianJew1883.HO	0.0326	0.0115	Jew_Georgian	Modern
LibyanJew1639.HO	0.0333	-0.0379	Jew_Libyan	Modern
Kayseri24266.HO	0.0223	0.0163	Turkish	Modern
Istanbul25095.HO	-0.0051	0.0153	Turkish	Modern
Aydin18112.HO	0.0203	0.0177	Turkish	Modern
Kayseri24402.HO	0.0196	0.0114	Turkish	Modern
Istanbul25081.HO	0.0149	0.0137	Turkish	Modern
Aydin18596.HO	0.0159	0.0309	Turkish	Modern
Istanbul17778.HO	0.0227	0.0255	Turkish	Modern
IraqiJew1430.HO	0.0385	-0.0015	Jew_Iraqi	Modern
Istanbul15781.HO	0.0027	0.0064	Turkish	Modern
Adana23136.HO	0.0323	-0.0124	Turkish	Modern
AshkenaziJew5788.HO	0.0118	-0.0179	Jew_Ashkenazi	Modern
Adana23113.HO	0.0282	0.024	Turkish	Modern
Trabzon21575.HO	0.0301	0.0077	Turkish	Modern
Aydin18636.HO	0.0187	0.021	Turkish	Modern
Istanbul20040.HO	0.0277	0.0233	Turkish	Modern
Adana23144.HO	0.0265	0.032	Turkish	Modern
Kayseri23967.HO	0.0241	0.0214	Turkish	Modern
IranianJew1845.HO	0.0378	0.0034	Jew_Iranian	Modern
Trabzon21174.HO	0.0271	0.0101	Turkish	Modern
Aydin18873.HO	0.0135	0.0171	Turkish	Modern
Kayseri23892.HO	0.0246	0.0136	Turkish	Modern
Istanbul19185.HO	0.0191	0.0175	Turkish	Modern
