Genetic ID	Master ID
I30989.TW	I30989
I30990.TW	I30990
I30991.TW	I30991
I30992.TW	I30992
I30993.TW	I30993
I30994_d.TW	I30994
I30995.TW	I30995
I30996.TW	I30996
I30997_d.TW	I30997
I30998.TW	I30998
I30999.TW	I30999
I31000.TW	I31000
I31001.TW	I31001
I31002.TW	I31002
I31003.TW	I31003
I31004.TW	I31004
I31005.TW	I31005
I31006.TW	I31006
I31007.TW	I31007
I31008.TW	I31008
I31009.TW	I31009
I31010_d.TW	I31010
I31011.TW	I31011
I31012.TW	I31012
I31013.TW	I31013
I31014.TW	I31014
I31016.TW	I31016
I31017.TW	I31017
I31018.TW	I31018
I31020.TW	I31020
I31021.TW	I31021
I31022.TW	I31022
I31023.TW	I31023
I31024.TW	I31024
I31025.TW	I31025
I31507.TW	I31507
I31508.TW	I31508
I31509.TW	I31509
I31510.TW	I31510
I31511.TW	I31511
I31512.TW	I31512
I31513.TW	I31513
I31514.TW	I31514
I31515.TW	I31515
I31516.TW	I31516
I31517.TW	I31517
I35719.TW	I35719
I35722.TW	I35722
I36186.TW	I36186
I36188.TW	I36188
S36188.Y1.E3.L1_Twist.TW	I36188
I36747.TW	I36747
I36748.TW	I36748
I36749.TW	I36749
I36749_d.TW	I36749
I36750.TW	I36750
I36751.TW	I36751
I36752.TW	I36752
I36753.TW	I36753
I36754.TW	I36754
I36755.TW	I36755
I36756.TW	I36756
I36757.TW	I36757
I36758.TW	I36758
I36759.TW	I36759
I36760.TW	I36760
I36762.TW	I36762
I36763.TW	I36763
I36764.TW	I36764
I36765.TW	I36765
I36766.TW	I36766
I36768.TW	I36768
I36769.TW	I36769
I36770.TW	I36770
I36771.TW	I36771
I36772.TW	I36772
I36773.TW	I36773
I36774.TW	I36774
I36775.TW	I36775
I36776.TW	I36776
I36777.TW	I36777
I36778.TW	I36778
I36779.TW	I36779
I36781.TW	I36781
I36782.TW	I36782
I36783.TW	I36783
I36784.TW	I36784
I36785.TW	I36785
I36786.TW	I36786
I36787.TW	I36787
I36788.TW	I36788
I36789.TW	I36789
I36790.TW	I36790
I36791.TW	I36791
I36792.TW	I36792
I36793.TW	I36793
I36794.TW	I36794
I36795.TW	I36795
I36796.TW	I36796
I36797.TW	I36797
I36798.TW	I36798
I36799.TW	I36799
I36800.TW	I36800
I36801.TW	I36801
I36802.TW	I36802
I36803.TW	I36803
I36804.TW	I36804
I36805.TW	I36805
I36806.TW	I36806
I36807.TW	I36807
I36808.TW	I36808
I36809.TW	I36809
I36810.TW	I36810
I36811.TW	I36811
I36812.TW	I36812
I36813.TW	I36813
I36814.TW	I36814
I36815.TW	I36815
I36816.TW	I36816
I36817_v57.1.TW	I36817
I36818_v57.1.TW	I36818
I36819_v57.1.TW	I36819
I36820.TW	I36820
I36821.TW	I36821
I36822.TW	I36822
I36823.TW	I36823
I36824.TW	I36824
I36825.TW	I36825
I36826.TW	I36826
I36827.TW	I36827
I36828.TW	I36828
I36830.TW	I36830
I36831.TW	I36831
I36833.TW	I36833
I36834.TW	I36834
I36835.TW	I36835
I36836.TW	I36836
I36837.TW	I36837
I36838.TW	I36838
I36839.TW	I36839
I36840.TW	I36840
I36841.TW	I36841
I36842.TW	I36842
I36843.TW	I36843
I36844.TW	I36844
I36845.TW	I36845
I36845_d.TW	I36845
I36846.TW	I36846
I36847.TW	I36847
I36848.TW	I36848
I36849.TW	I36849
I36850.TW	I36850
I36851.TW	I36851
I36852.TW	I36852
I36853.TW	I36853
I36854.TW	I36854
I36855.TW	I36855
I36855_d.TW	I36855
I36856.TW	I36856
I36857.TW	I36857
I36858.TW	I36858
I36859.TW	I36859
I36860.TW	I36860
I36861.TW	I36861
I36862.TW	I36862
I36863.TW	I36863
I36864.TW	I36864
I36865.TW	I36865
I36866_d.TW	I36866
I36867.TW	I36867
I36868.TW	I36868
I36869.TW	I36869
I36869_d.TW	I36869
I36870.TW	I36870
I36871.TW	I36871
I36872.TW	I36872
I36873_v57.1.TW	I36873
I36874.TW	I36874
I36875_d.TW	I36875
I36877.TW	I36877
I36878.TW	I36878
I36879.TW	I36879
I36880.TW	I36880
I36881.TW	I36881
I36882_v57.1.TW	I36882
I36883.TW	I36883
I36884.TW	I36884
I36885.TW	I36885
I36886.TW	I36886
I36887.TW	I36887
I36888.TW	I36888
I36889.TW	I36889
I36890.TW	I36890
I36891.TW	I36891
I36893.TW	I36893
I36894.TW	I36894
I36895.TW	I36895
I36896.TW	I36896
I36897.TW	I36897
I36898.TW	I36898
I36899_v57.1.TW	I36899
I36900.TW	I36900
I36901_v57.1.TW	I36901
I36902_v57.1.TW	I36902
I36903_v57.1.TW	I36903
I36904_v57.1.TW	I36904
I36905.TW	I36905
I36906.TW	I36906
I36907.TW	I36907
I36908.TW	I36908
I36909_d.TW	I36909
I36910_d.TW	I36910
I36911.TW	I36911
I36912.TW	I36912
I36913.TW	I36913
I36914.TW	I36914
I36915.TW	I36915
I36916.TW	I36916
I36917.TW	I36917
I36918.TW	I36918
I36919.TW	I36919
I36920.TW	I36920
I36921.TW	I36921
I36922.TW	I36922
